unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
483212,NA,NA,22900,23500,NA,29513,7916,7618,1745,2497,0,0,0,0,0,0,0,,latest
483230,NA,NA,NA,NA,NA,NA,5077,4449,59,186,0,0,0,0,0,0,0,,latest
483258,NA,NA,NA,NA,NA,NA,NA,15900,NA,53,0,0,0,0,0,0,0,,latest
483276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
483328,NA,NA,NA,26100,21557,23332,9500,9500,263,429,0,0,0,0,0,0,0,,latest
483337,NA,NA,NA,NA,24584,24995,9500,9500,593,924,0,0,0,0,0,0,0,,latest
483346,NA,NA,NA,NA,NA,NA,3167,3167,50,72,0,0,0,0,0,0,0,,latest
483355,28400,29800,24400,25200,28588,29723,5843,5899,455,602,0,0,0,0,0,0,0,,latest
483364,20300,21300,21100,22500,28697,29762,6200,6200,343,468,0,0,0,0,0,0,0,,latest
483373,NA,NA,NA,NA,NA,NA,NA,8444,44,62,0,0,0,0,0,0,0,,latest
483382,NA,NA,NA,NA,NA,NA,6333,6022,125,270,0,0,0,0,0,0,0,,latest
483425,NA,NA,NA,NA,NA,NA,8750,8750,32,59,0,0,0,0,0,0,0,,latest
483470,NA,NA,NA,NA,NA,NA,NA,6186,NA,76,0,0,0,0,0,0,0,,latest
483504,23000,24700,19800,21400,23747,24689,9500,9500,3494,4219,0,0,0,0,0,0,0,,latest
483513,NA,NA,NA,NA,NA,NA,9500,9500,63,85,0,0,0,0,0,0,0,,latest
483559,NA,NA,NA,NA,NA,NA,8583,8583,84,120,0,0,0,0,0,0,0,,latest
483577,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,,latest
483595,NA,NA,NA,NA,NA,NA,6250,5592,330,430,0,0,0,0,0,1,0,hsi,latest
483647,NA,NA,NA,NA,NA,NA,6840,9499,57,104,0,0,0,0,0,0,0,,latest
483708,NA,NA,NA,NA,NA,NA,5500,5500,72,105,0,0,0,0,0,0,0,,latest
483726,NA,NA,NA,NA,NA,NA,NA,9500,NA,47,0,0,0,0,0,0,0,,latest
483735,NA,NA,NA,NA,NA,NA,NA,6009,35,52,0,0,0,0,0,0,0,,latest
483744,NA,NA,NA,NA,NA,NA,NA,9500,NA,60,0,0,0,0,0,0,0,,latest
483753,NA,NA,NA,NA,NA,NA,NA,9500,NA,30,0,0,0,0,0,0,0,,latest
483780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
483799,NA,NA,NA,NA,NA,NA,NA,8444,14,27,0,0,0,0,0,0,0,,latest
483814,NA,NA,NA,NA,NA,64010,14680,14680,277,531,0,0,0,0,0,0,0,,latest
483823,NA,NA,NA,NA,NA,NA,9500,9500,928,1106,0,0,0,0,0,0,0,,latest
483841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
483850,NA,NA,NA,NA,NA,NA,NA,5709,NA,30,0,0,0,0,0,0,0,,latest
483869,NA,NA,NA,NA,NA,NA,7917,7917,101,119,0,0,0,0,0,0,0,,latest
483878,NA,NA,NA,NA,NA,NA,8791,8291,107,140,0,0,0,0,0,0,0,,latest
483887,NA,NA,NA,NA,NA,NA,NA,7389,NA,53,0,0,0,0,0,0,0,,latest
483896,NA,NA,NA,NA,NA,NA,3167,3167,246,336,0,0,0,0,0,0,0,,latest
483911,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,0,0,0,0,,latest
483920,NA,NA,NA,NA,NA,NA,12000,12000,240,280,0,0,0,0,0,0,0,,latest
483948,NA,NA,NA,NA,NA,NA,NA,14000,NA,30,0,0,0,0,0,0,0,,latest
483957,NA,NA,NA,NA,NA,NA,NA,6333,32,42,0,0,0,0,0,0,0,,latest
483975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
484002,NA,NA,NA,NA,NA,37904,9500,9500,618,843,0,0,0,0,0,0,0,,latest
484011,NA,NA,NA,NA,NA,NA,6492,6492,126,212,0,0,0,0,0,0,0,,latest
484020,NA,NA,NA,NA,NA,NA,NA,9500,28,38,0,0,0,0,0,0,0,,latest
484048,NA,NA,NA,NA,NA,NA,NA,9500,NA,54,0,0,0,0,0,0,0,,latest
484057,NA,NA,NA,NA,NA,NA,NA,2333,25,36,0,0,0,0,0,0,0,,latest
484066,NA,NA,NA,NA,NA,NA,9223,9196,650,878,0,0,0,0,0,0,0,,latest
484075,NA,NA,NA,NA,NA,NA,NA,9000,27,41,0,0,0,0,0,0,0,,latest
484084,NA,NA,NA,NA,NA,NA,7917,7867,36,61,0,0,0,0,0,0,0,,latest
484093,NA,NA,NA,NA,NA,NA,9833,9833,75,142,0,0,0,0,0,0,0,,latest
484109,NA,NA,NA,NA,NA,NA,9833,9833,47,102,0,0,0,0,0,0,0,,latest
484127,NA,NA,NA,NA,NA,NA,10180,9833,45,119,0,0,0,0,0,0,0,,latest
484136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
484163,NA,NA,NA,NA,NA,NA,8444,8347,147,206,0,0,0,0,0,0,0,,latest
484172,NA,NA,NA,NA,NA,NA,5970,5970,80,98,0,0,0,0,0,0,0,,latest
484190,NA,NA,NA,NA,NA,NA,NA,15587,NA,34,0,0,0,0,0,0,0,,latest
484206,NA,NA,NA,NA,NA,NA,6333,6333,113,199,0,0,0,0,0,0,0,,latest
484233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
484330,23600,25100,21300,22600,26794,28146,9500,8481,760,1034,0,0,0,0,0,0,0,,latest
484349,25500,26800,23500,24600,30515,32218,9500,9389,698,958,0,0,0,0,0,0,0,,latest
484358,25500,26800,23500,24600,30515,32218,9500,9389,698,958,0,0,0,0,0,0,0,,latest
484367,28100,30900,24500,27500,35544,37352,9500,9500,1496,2188,0,0,0,0,0,0,0,,latest
484376,28100,30900,24500,27500,35544,37352,9500,9500,1496,2188,0,0,0,0,0,0,0,,latest
484394,NA,NA,NA,NA,NA,31367,8536,9500,153,328,0,0,0,0,0,0,0,,latest
484473,63400,65700,47300,47700,64249,65342,13000,14000,2665,9081,0,0,0,0,0,0,0,,latest
484604,25400,25100,19200,21800,22520,25427,7917,7917,960,1318,0,0,0,0,0,0,0,,latest
484613,39900,54900,24300,34200,30688,36644,15000,16690,53841,82358,0,0,0,0,0,0,0,,latest
484631,39900,54900,24300,34200,30688,36644,15000,16690,53841,82358,0,0,0,0,0,0,0,,latest
484710,39900,54900,24300,34200,30688,36644,15000,16690,53841,82358,0,0,0,0,0,0,0,,latest
484756,39900,54900,24300,34200,30688,36644,15000,16690,53841,82358,0,0,0,0,0,0,0,,latest
484844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
484862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
484871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
484899,NA,NA,NA,NA,25595,31894,6333,6333,240,499,0,0,0,0,0,0,0,,latest
484905,NA,NA,NA,NA,NA,NA,12500,12500,704,1347,0,0,0,0,0,1,0,hsi,latest
484923,NA,NA,NA,NA,NA,NA,6333,6333,33,70,0,0,0,0,0,0,0,,latest
484932,NA,NA,24500,27800,32863,36527,4000,5256,372,800,0,0,0,0,0,0,0,,latest
484950,NA,25600,17900,19800,21979,23015,6333,6333,473,695,0,0,0,0,0,0,0,,latest
484996,21100,21400,18000,18200,NA,17491,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485014,17600,19900,15400,16900,19889,20753,6222,6633,1304,1703,0,0,0,0,0,0,0,,latest
485032,NA,NA,NA,NA,22132,26966,9500,9833,353,556,0,0,0,0,0,0,0,,latest
485111,33100,35900,24700,27800,31479,34871,5500,5500,2472,4584,0,0,0,0,0,0,0,,latest
485166,21100,23500,NA,19200,NA,30070,8769,8769,54,73,0,0,0,0,0,0,0,,latest
485236,NA,NA,NA,NA,NA,NA,5481,5500,80,115,0,0,0,0,0,0,0,,latest
485272,NA,67700,67100,71900,95929,98146,26500,24145,4379,8901,0,0,0,0,0,0,0,,latest
485342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485360,NA,NA,NA,NA,NA,NA,NA,9500,NA,22,0,0,0,0,0,0,0,,latest
485379,NA,NA,NA,NA,NA,19635,6105,6105,1113,1355,0,0,0,0,0,0,0,,latest
485388,NA,NA,NA,NA,NA,19635,6105,6105,1113,1355,0,0,0,0,0,0,0,,latest
485397,21300,22000,16700,18500,21571,23535,7667,7851,1289,1839,0,0,0,0,0,0,0,,latest
485403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485412,NA,NA,NA,19500,NA,18849,2065,2333,106,157,0,0,0,0,0,0,0,,latest
485458,25100,27300,22200,23600,NA,30681,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485476,NA,NA,NA,NA,NA,NA,7917,6333,87,137,0,0,0,0,0,0,0,,latest
485485,NA,NA,NA,NA,NA,NA,7333,6334,145,170,0,0,0,0,0,0,0,,latest
485494,NA,NA,NA,NA,NA,NA,NA,15340,56,72,0,0,0,0,0,0,0,,latest
485500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485519,NA,NA,NA,NA,NA,NA,6334,6334,117,201,0,0,0,0,0,0,0,,latest
485546,NA,NA,NA,NA,NA,NA,7082,7404,90,115,0,0,0,0,0,0,0,,latest
485564,NA,NA,NA,NA,NA,NA,NA,6333,124,138,0,0,0,0,0,0,0,,latest
485573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485591,NA,NA,NA,NA,NA,NA,NA,9500,NA,21,0,0,0,0,0,0,0,,latest
485607,NA,NA,NA,NA,NA,NA,NA,8665,NA,47,0,0,0,0,0,0,0,,latest
485698,NA,NA,NA,NA,NA,NA,NA,10500,14,33,0,0,0,0,0,0,0,,latest
485704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485768,NA,NA,NA,NA,NA,NA,14640,15900,48,71,0,0,0,0,0,0,0,,latest
485801,NA,NA,NA,NA,NA,NA,4171,4097,100,137,0,0,0,0,0,0,0,,latest
485856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
485874,NA,NA,NA,NA,NA,NA,7316,7736,124,206,0,0,0,0,0,0,0,,latest
485926,NA,NA,NA,NA,NA,NA,2333,2400,81,101,0,0,0,0,0,0,0,,latest
485953,NA,NA,NA,NA,NA,NA,NA,4125,NA,20,0,0,0,0,0,0,0,,latest
485962,NA,NA,NA,NA,NA,NA,NA,9500,NA,42,0,0,0,0,0,0,0,,latest
485999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486123,NA,NA,NA,NA,NA,NA,NA,7489,NA,23,0,0,0,0,0,0,0,,latest
486141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486169,NA,NA,NA,NA,NA,NA,9500,9399,91,124,0,0,0,0,0,0,0,,latest
486196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486248,NA,NA,NA,NA,NA,NA,NA,3666,29,40,0,0,0,0,0,0,0,,latest
486257,NA,NA,NA,NA,NA,NA,14000,12270,110,189,0,0,0,0,0,0,0,,latest
486284,NA,NA,NA,NA,NA,NA,10500,11598,54,201,0,0,0,0,0,0,0,,latest
486345,NA,NA,NA,NA,NA,NA,6851,6851,101,165,0,0,0,0,0,0,0,,latest
486354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486372,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,,latest
486381,NA,NA,NA,NA,NA,NA,9500,10000,27,46,0,0,0,0,0,0,0,,latest
486390,NA,NA,NA,NA,NA,NA,NA,6333,46,58,0,0,0,0,0,0,0,,latest
486406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486415,NA,NA,NA,NA,NA,NA,12412,9942,223,353,0,0,0,0,0,0,0,,latest
486424,NA,NA,NA,NA,NA,NA,17713,15187,64,112,0,0,0,0,0,0,0,,latest
486433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486442,NA,NA,NA,NA,NA,NA,9500,7910,59,83,0,0,0,0,0,0,0,,latest
486488,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,0,0,0,0,0,,latest
486497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486512,NA,NA,NA,NA,NA,NA,3004,3200,127,155,0,0,0,0,0,0,0,,latest
486530,NA,NA,NA,NA,NA,NA,7767,7767,356,498,0,0,0,0,0,0,0,,latest
486558,NA,NA,NA,NA,NA,NA,19500,19500,184,307,0,0,0,0,0,0,0,,latest
486567,NA,NA,NA,NA,NA,NA,8500,9822,139,222,0,0,0,0,0,0,0,,latest
486576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
486619,NA,NA,NA,NA,NA,NA,4750,4750,66,90,0,0,0,0,0,0,0,,latest
486691,21300,25900,19400,22400,20605,22421,6333,7050,1187,1541,0,0,0,0,0,0,0,,latest
486707,20800,22000,18800,20000,25970,27699,9500,7504,1087,1527,0,0,0,0,0,0,0,,latest
486716,23600,24600,20400,21800,27446,28503,8019,5500,1098,1537,0,0,0,0,0,0,0,,latest
486752,23900,24900,20600,22500,27275,28831,8609,7719,1559,2231,0,0,0,0,0,0,0,,latest
486770,26600,29700,20600,25600,22064,22772,7521,7485,249,342,0,0,0,0,0,0,0,,latest
486798,39800,42700,29800,35100,36185,39602,7125,6886,3906,6121,0,0,0,0,0,0,0,,latest
486813,27800,30600,25400,28700,35579,38155,9500,9500,7803,12677,0,0,0,0,0,0,0,,latest
486822,NA,NA,NA,NA,NA,36442,8001,5500,955,1632,0,0,0,0,0,0,0,,latest
486840,45200,47900,36300,38200,50775,52536,15750,14250,5216,15676,0,0,0,0,0,0,0,,latest
486859,NA,NA,NA,16400,NA,18401,7000,7000,35,59,0,0,0,0,0,0,0,,latest
486877,43200,49300,39800,44500,51892,54562,9500,8550,127,257,0,0,0,0,0,0,0,,latest
486886,43200,49300,39800,44500,51892,54562,9500,8550,127,257,0,0,0,0,0,0,0,,latest
486901,41800,44500,36300,35600,47602,48278,18500,18800,78,399,0,0,0,0,0,0,0,,latest
486938,46100,60400,56000,69800,79465,88361,16577,16458,9581,25881,0,0,0,0,0,0,0,,latest
486947,46100,60400,56000,69800,79465,88361,16577,16458,9581,25881,0,0,0,0,0,0,0,,latest
486956,46100,60400,56000,69800,79465,88361,16577,16458,9581,25881,0,0,0,0,0,0,0,,latest
486983,NA,NA,NA,NA,NA,24427,9500,9500,35,54,0,0,0,0,0,0,0,,latest
487010,NA,NA,NA,NA,71697,67394,12500,11250,120,291,0,0,0,0,0,0,0,,latest
487047,NA,20900,16600,17200,22900,23411,7480,6859,2424,2790,0,0,0,0,0,0,0,,latest
487065,NA,NA,NA,NA,NA,21827,7128,7710,175,281,0,0,0,0,0,0,0,,latest
487083,NA,NA,NA,NA,NA,21315,9473,9833,75,112,0,0,0,0,0,0,0,,latest
487092,99300,84400,74200,65500,82326,80270,15984,16750,622,2561,0,0,0,0,0,0,0,,latest
487153,NA,NA,NA,NA,52395,55622,9500,10250,370,621,0,0,0,0,0,0,0,,latest
487162,25500,27800,24300,25600,NA,31122,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
487232,NA,18400,NA,16000,NA,16732,6078,5500,185,271,0,0,0,0,0,0,0,,latest
487302,23400,25800,21600,26900,32064,34056,10000,11501,1149,1652,0,0,0,0,0,0,0,,latest
487311,NA,21800,19700,20400,NA,19892,6333,6333,503,733,0,0,0,0,0,0,0,,latest
487320,32600,39300,28800,33800,33612,37305,6399,6334,3342,6383,0,0,0,0,0,1,0,hsi,latest
487348,NA,NA,NA,NA,30436,32561,6211,6211,231,419,0,0,0,0,0,0,0,,latest
487375,25200,26400,21700,23900,31908,33491,9500,9500,1971,3016,0,0,0,0,0,0,0,,latest
487384,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487393,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487409,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487418,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487427,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487436,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487445,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487454,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487472,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487481,25500,27100,19900,21300,28059,29749,9500,9500,11363,13853,0,0,0,0,0,0,0,,latest
487490,25700,28300,21200,22500,25918,27882,9365,9365,11479,13086,0,0,0,0,0,0,0,,latest
487506,NA,NA,NA,24800,27508,30971,6333,6333,266,477,0,0,0,0,0,0,0,,latest
487524,39500,42500,35600,39900,37349,44467,22215,21500,524,1740,0,0,0,0,0,0,0,,latest
487533,NA,NA,NA,NA,24753,24293,7307,7307,195,340,0,0,0,0,0,0,0,,latest
487588,22500,24000,19400,20600,30165,31594,9500,9500,2366,2787,0,0,0,0,0,0,0,,latest
487597,44400,48100,33300,37000,49872,52777,10827,11183,3443,7166,0,0,0,0,0,0,0,,latest
487603,46200,46300,38600,39900,44488,53555,14881,15000,343,1103,0,0,0,0,0,0,0,,latest
487621,NA,NA,NA,NA,NA,15910,NA,6333,NA,55,0,0,0,0,0,0,0,,latest
487649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
487658,NA,NA,NA,NA,NA,NA,11803,11803,29,73,0,0,0,0,0,0,0,,latest
487676,NA,NA,NA,NA,30919,33591,9833,9833,197,386,0,0,0,0,0,0,0,,latest
487746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
487773,NA,NA,NA,NA,NA,NA,NA,4155,26,37,0,0,0,0,0,0,0,,latest
487791,NA,NA,NA,NA,NA,NA,9500,6944,514,846,0,0,0,0,0,0,0,,latest
487807,NA,NA,NA,NA,NA,NA,NA,8549,38,51,0,0,0,0,0,0,0,,latest
487816,NA,NA,NA,NA,NA,NA,NA,8649,NA,28,0,0,0,0,0,0,0,,latest
487852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
487861,NA,NA,NA,NA,NA,NA,10500,9500,169,243,0,0,0,0,0,0,0,,latest
487889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
487904,NA,NA,NA,NA,NA,NA,NA,8000,16,50,0,0,0,0,0,0,0,,latest
487922,NA,NA,NA,NA,NA,NA,8430,9665,27,58,0,0,0,0,0,0,0,,latest
487959,NA,NA,NA,NA,NA,NA,6222,6222,35,67,0,0,0,0,0,0,0,,latest
487968,NA,NA,NA,NA,NA,NA,NA,9500,NA,74,0,0,0,0,0,0,0,,latest
487977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
487995,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,0,0,0,0,,latest
488004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488013,NA,NA,NA,NA,NA,NA,NA,7412,NA,108,0,0,0,0,0,0,0,,latest
488022,NA,NA,NA,NA,NA,NA,NA,4750,NA,57,0,0,0,0,0,0,0,,latest
488031,NA,NA,NA,NA,NA,NA,NA,8984,NA,21,0,0,0,0,0,0,0,,latest
488059,NA,NA,NA,NA,NA,NA,NA,17828,60,75,0,0,0,0,0,0,0,,latest
488077,NA,NA,NA,NA,NA,NA,7449,7786,543,1106,0,0,0,0,0,0,0,,latest
488110,NA,NA,NA,NA,NA,NA,NA,7917,55,70,0,0,0,0,0,0,0,,latest
488129,NA,NA,NA,NA,NA,NA,NA,6332,31,41,0,0,0,0,0,0,0,,latest
488138,NA,NA,NA,NA,NA,NA,NA,6333,NA,88,0,0,0,0,0,0,0,,latest
488147,NA,NA,NA,NA,NA,NA,NA,9500,81,99,0,0,0,0,0,0,0,,latest
488174,NA,NA,NA,NA,NA,NA,NA,5500,NA,37,0,0,0,0,0,0,0,,latest
488183,NA,NA,NA,NA,NA,NA,NA,7448,17,29,0,0,0,0,0,0,0,,latest
488192,NA,NA,NA,NA,NA,NA,8950,7052,53,87,0,0,0,0,0,0,0,,latest
488217,NA,NA,NA,NA,NA,NA,5500,5500,155,203,0,0,0,0,0,0,0,,latest
488226,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,0,0,0,0,,latest
488253,NA,NA,NA,NA,NA,NA,6333,6333,46,71,0,0,0,0,0,0,0,,latest
488262,NA,NA,NA,NA,NA,NA,NA,9500,13,25,0,0,0,0,0,0,0,,latest
488271,NA,NA,NA,NA,NA,NA,10989,10556,78,119,0,0,0,0,0,0,0,,latest
488280,NA,NA,NA,NA,NA,NA,6333,6333,83,122,0,0,0,0,0,0,0,,latest
488299,NA,NA,NA,NA,NA,NA,NA,4750,NA,27,0,0,0,0,0,0,0,,latest
488305,NA,NA,NA,NA,NA,NA,NA,9241,17,49,0,0,0,0,0,0,0,,latest
488314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488332,NA,NA,NA,NA,NA,NA,9500,9500,34,66,0,0,0,0,0,0,0,,latest
488350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488369,NA,NA,NA,NA,NA,NA,NA,9500,59,74,0,0,0,0,0,0,0,,latest
488378,NA,NA,NA,NA,NA,NA,6333,6333,101,135,0,0,0,0,0,0,0,,latest
488387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488396,NA,NA,NA,NA,NA,NA,NA,6556,NA,73,0,0,0,0,0,0,0,,latest
488411,NA,NA,NA,NA,NA,NA,6333,6333,86,147,0,0,0,0,0,0,0,,latest
488420,NA,NA,NA,NA,NA,NA,7389,7389,83,140,0,0,0,0,0,0,0,,latest
488439,NA,NA,NA,NA,NA,NA,8250,9500,156,199,0,0,0,0,0,0,0,,latest
488448,NA,NA,NA,NA,NA,NA,12167,12063,37,66,0,0,0,0,0,0,0,,latest
488527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488651,NA,NA,NA,NA,NA,NA,7307,7307,204,259,0,0,0,0,0,0,0,,latest
488679,39500,56200,35100,47700,44468,59093,10044,14335,3816,8595,0,0,0,0,0,0,0,,latest
488721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488730,NA,NA,NA,NA,NA,NA,6000,5500,156,377,0,0,0,0,0,1,0,hsi,latest
488749,NA,NA,NA,24900,NA,29452,6333,6333,173,300,0,0,0,0,0,0,0,,latest
488776,NA,NA,NA,NA,NA,NA,NA,18000,NA,21,0,0,0,0,0,0,0,,latest
488785,NA,NA,NA,NA,NA,NA,19500,15000,39,139,0,0,0,0,0,1,0,hsi,latest
488800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488837,NA,NA,NA,NA,NA,NA,NA,6354,NA,29,0,0,0,0,0,0,0,,latest
488846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488916,NA,NA,NA,NA,NA,NA,NA,16500,NA,53,0,0,0,0,0,0,0,,latest
488934,31900,33700,29700,32200,NA,37192,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
488952,23600,25100,21300,22600,26794,28146,9500,8481,760,1034,0,0,0,0,0,0,0,,latest
488961,25500,26800,23500,24600,30515,32218,9500,9389,698,958,0,0,0,0,0,0,0,,latest
488970,23900,24900,20600,22500,27275,28831,8609,7719,1559,2231,0,0,0,0,0,0,0,,latest
488989,NA,19600,25500,26800,26864,28647,9500,9500,473,724,0,0,0,0,0,0,0,,latest
488998,17200,19200,17700,19300,20780,22411,9500,9500,339,570,0,0,0,0,0,0,0,,latest
489122,NA,19400,NA,18800,NA,25527,6333,6333,83,150,0,0,0,0,0,0,0,,latest
489131,NA,19400,NA,18800,NA,25527,6333,6333,83,150,0,0,0,0,0,0,0,,latest
489140,NA,19400,NA,18800,NA,25527,6333,6333,83,150,0,0,0,0,0,0,0,,latest
489159,19200,20300,17300,18100,NA,23376,5825,5775,612,867,0,0,0,0,0,0,0,,latest
489201,NA,NA,NA,NA,NA,NA,3000,3500,45,87,0,0,0,0,1,1,0,aanapii;hsi,latest
489238,NA,NA,NA,NA,NA,36188,5821,5848,393,559,0,0,0,0,0,0,0,,latest
489247,NA,NA,NA,NA,NA,17207,5500,5651,49,73,0,0,0,0,0,0,0,,latest
489256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
489283,28200,30500,23500,26000,31095,32512,9499,9473,5275,7174,0,0,0,0,0,0,0,,latest
